SYMBOL,SERIES,CLOSE,TIMESTAMP
20MICRONS,EQ,125.6,01-NOV-2012
3IINFOTECH,BE,7.9,01-NOV-2012
3MINDIA,EQ,3820.0,01-NOV-2012
A2ZMES,EQ,59.95,01-NOV-2012
AANJANEYA,EQ,637.3,01-NOV-2012
AARTIDRUGS,EQ,193.05,01-NOV-2012
AARTIIND,EQ,92.8,01-NOV-2012
AARVEEDEN,EQ,59.2,01-NOV-2012
ABAN,EQ,443.95,01-NOV-2012
ABB,EQ,736.0,01-NOV-2012
ABBOTINDIA,EQ,1456.15,01-NOV-2012
ABCIL,EQ,90.05,01-NOV-2012
ABGSHIP,EQ,373.6,01-NOV-2012
ABHISHEK,EQ,6.85,01-NOV-2012
ABIRLANUVO,EQ,908.0,01-NOV-2012
ACC,EQ,1395.1,01-NOV-2012
ACCELYA,BE,219.5,01-NOV-2012
ACE,EQ,24.5,01-NOV-2012
ACROPETAL,EQ,12.5,01-NOV-2012
ADANIENT,EQ,225.6,01-NOV-2012
ADANIPORTS,EQ,125.0,01-NOV-2012
ADANIPOWER,EQ,49.4,01-NOV-2012
ADFFOODS,EQ,57.5,01-NOV-2012
ADHUNIK,EQ,30.15,01-NOV-2012
ADORWELD,EQ,134.9,01-NOV-2012
ADSL,EQ,22.25,01-NOV-2012
ADVANTA,EQ,818.3,01-NOV-2012
AEGISCHEM,EQ,172.15,01-NOV-2012
AFL,EQ,33.5,01-NOV-2012
AFTEK,EQ,7.7,01-NOV-2012
AGCNET,EQ,396.8,01-NOV-2012
AGRODUTCH,EQ,3.65,01-NOV-2012
AHLEAST,EQ,222.85,01-NOV-2012
AHLUCONT,EQ,39.45,01-NOV-2012
AHLWEST,EQ,130.5,01-NOV-2012
AHMEDFORGE,EQ,126.6,01-NOV-2012
AIAENG,EQ,383.8,01-NOV-2012
AICHAMP,BE,17.75,01-NOV-2012
AIL,EQ,421.8,01-NOV-2012
AJANTPHARM,EQ,395.35,01-NOV-2012
AJMERA,BE,117.35,01-NOV-2012
